Year,Total_Records,STAT_18922G,GDSTATHI_2K2.1_Total,GDLINEHI_2A_Total,GDSTATHI_Ex_2A_TOTPRISN_Avg,GDLINEHI_2A_TOTPRISN_Avg,Over_120_TOTPRISN_Count,2A1.1,2A1.2,2A1.3,2A1.4,2A1.5,2A2.1,2A2.2,2A2.3
2002,64366,2881,2794,13,54.8,71.08,0,2,0,0,0,0,4,3,0
2003,70258,3739,3637,15,50.23,84.4,2,1,2,0,0,0,5,5,0
2004,70068,4498,4356,29,64.19,87.31,2,5,2,0,0,0,7,12,0
2005,72462,4687,4561,21,52.71,94.24,2,1,1,0,0,0,6,8,0
2006,72585,4374,4260,17,50.74,113.65,1,2,1,1,0,0,6,3,0
2007,72865,4390,4292,27,56.21,109.37,2,1,0,2,0,0,10,3,0
2008,76478,4354,4240,35,50.79,92.8,3,1,0,1,0,0,17,11,0
2009,81372,4395,4318,44,50.5,95.77,2,1,2,4,1,0,18,8,0
2010,83946,4350,4301,39,53.51,86.95,1,2,1,2,0,0,13,14,0
2011,86201,4222,4159,47,48.38,88.26,1,4,2,2,0,0,14,14,0
2012,84173,4268,4207,52,49.18,99.71,3,2,2,1,0,0,28,9,0
2013,80035,4189,4156,49,49.9,90.51,2,2,3,1,0,0,25,13,0
2014,75836,4118,4069,47,48.28,98.89,3,4,1,1,0,0,19,13,0
2015,71003,3751,3709,38,51.09,101.97,7,5,0,2,0,0,16,10,0
2016,67742,4180,4140,38,47.76,93.26,1,3,3,1,0,0,16,9,0
2017,66873,4744,4701,69,44.7,90.99,2,0,3,4,0,1,36,19,0
2018,69425,5259,5190,61,47.16,99.26,9,2,1,1,0,0,21,24,0
2019,76538,5870,5823,91,47.5,88.36,1,2,5,5,0,0,40,26,0
2020,64565,5256,5211,76,41.05,92.7,3,4,3,3,0,1,36,22,0
2021,57287,5866,5829,83,44.56,82.47,3,2,2,1,1,0,38,29,0
2022,64142,6796,6760,133,43.88,91.99,8,2,6,1,1,6,58,44,0
2023,64124,6132,6088,136,46.04,86.43,7,4,1,4,0,0,76,46,0
2024,61678,5527,5466,154,46.8,101.94,37,5,9,5,0,1,84,42,0
